user_id,event_name,event_time,kyc_document_type,status
1001,account_created,2025-02-21 15:00:00,,
1001,phone_verified,2025-02-21 15:04:00,,
1001,kyc_started,2025-02-21 16:10:00,Passport,started
1002,account_created,2025-01-15 20:00:00,,
1002,phone_verified,2025-01-15 20:29:00,,
1002,kyc_started,2025-01-15 23:27:00,Driver License,started
1003,account_created,2025-03-13 21:00:00,,
1003,phone_verified,2025-03-13 21:15:00,,
1003,kyc_started,2025-03-13 23:26:00,Passport,started
1004,account_created,2025-03-02 20:00:00,,
1005,account_created,2025-01-21 15:00:00,,
1005,phone_verified,2025-01-21 15:24:00,,
1005,kyc_started,2025-01-21 15:36:00,State ID,started
1005,kyc_approved,2025-01-22 01:17:00,State ID,approved
1005,bank_linked,2025-01-22 15:17:00,,linked
1006,account_created,2025-03-24 18:00:00,,
1007,account_created,2025-03-28 12:00:00,,
1007,phone_verified,2025-03-28 12:16:00,,
1007,kyc_started,2025-03-28 13:15:00,State ID,started
1007,kyc_approved,2025-03-28 14:02:00,State ID,approved
1007,bank_linked,2025-03-29 10:02:00,,linked
1008,account_created,2025-03-16 20:00:00,,
1008,phone_verified,2025-03-16 20:26:00,,
1008,kyc_started,2025-03-16 21:17:00,Driver License,started
1008,kyc_approved,2025-03-16 23:03:00,Driver License,approved
1008,bank_linked,2025-03-17 23:03:00,,linked
1009,account_created,2025-03-16 11:00:00,,
1009,phone_verified,2025-03-16 11:07:00,,
1009,kyc_started,2025-03-16 13:13:00,Driver License,started
1009,kyc_approved,2025-03-16 19:54:00,Driver License,approved
1010,account_created,2025-03-29 08:00:00,,
1010,phone_verified,2025-03-29 08:27:00,,
1011,account_created,2025-01-24 08:00:00,,
1012,account_created,2025-01-03 11:00:00,,
1012,phone_verified,2025-01-03 11:01:00,,
1012,kyc_started,2025-01-03 11:56:00,Driver License,started
1012,kyc_approved,2025-01-03 20:09:00,Driver License,approved
1013,account_created,2025-01-22 20:00:00,,
1013,phone_verified,2025-01-22 20:17:00,,
1013,kyc_started,2025-01-22 22:51:00,Driver License,started
1014,account_created,2025-02-22 08:00:00,,
1014,phone_verified,2025-02-22 08:24:00,,
1014,kyc_started,2025-02-22 09:07:00,State ID,started
1014,kyc_approved,2025-02-22 18:56:00,State ID,approved
1014,bank_linked,2025-02-23 15:56:00,,linked
1015,account_created,2025-01-02 09:00:00,,
1015,phone_verified,2025-01-02 09:13:00,,
1015,kyc_started,2025-01-02 10:19:00,Driver License,started
1016,account_created,2025-03-29 12:00:00,,
1016,phone_verified,2025-03-29 12:16:00,,
1016,kyc_started,2025-03-29 12:24:00,Driver License,started
1016,kyc_approved,2025-03-29 15:22:00,Driver License,approved
1016,bank_linked,2025-03-30 06:22:00,,linked
1017,account_created,2025-01-30 12:00:00,,
1017,phone_verified,2025-01-30 12:05:00,,
1017,kyc_started,2025-01-30 15:04:00,Driver License,started
1017,kyc_approved,2025-01-30 22:11:00,Driver License,approved
1018,account_created,2025-02-07 11:00:00,,
1018,phone_verified,2025-02-07 11:20:00,,
1018,kyc_started,2025-02-07 11:54:00,Driver License,started
1019,account_created,2025-01-02 15:00:00,,
1019,phone_verified,2025-01-02 15:20:00,,
1019,kyc_started,2025-01-02 17:55:00,State ID,started
1019,kyc_approved,2025-01-03 01:32:00,State ID,approved
1020,account_created,2025-03-05 20:00:00,,
1020,phone_verified,2025-03-05 20:21:00,,
1020,kyc_started,2025-03-05 21:07:00,Passport,started
1020,kyc_approved,2025-03-05 21:31:00,Passport,approved
1020,bank_linked,2025-03-08 17:31:00,,linked
1021,account_created,2025-03-01 18:00:00,,
1021,phone_verified,2025-03-01 18:20:00,,
1021,kyc_started,2025-03-01 19:21:00,State ID,started
1022,account_created,2025-01-21 18:00:00,,
1022,phone_verified,2025-01-21 18:04:00,,
1022,kyc_started,2025-01-21 19:28:00,State ID,started
1022,kyc_approved,2025-01-22 00:12:00,State ID,approved
1022,bank_linked,2025-01-24 19:12:00,,linked
1023,account_created,2025-02-02 09:00:00,,
1023,phone_verified,2025-02-02 09:18:00,,
1023,kyc_started,2025-02-02 11:39:00,Driver License,started
1023,kyc_approved,2025-02-02 21:06:00,Driver License,approved
1023,bank_linked,2025-02-03 00:06:00,,linked
1024,account_created,2025-03-17 16:00:00,,
1024,phone_verified,2025-03-17 16:17:00,,
1024,kyc_started,2025-03-17 18:52:00,Driver License,started
1024,kyc_approved,2025-03-17 19:36:00,Driver License,approved
1024,bank_linked,2025-03-18 23:36:00,,linked
1025,account_created,2025-02-27 10:00:00,,
1025,phone_verified,2025-02-27 10:13:00,,
1025,kyc_started,2025-02-27 11:32:00,Driver License,started
1025,kyc_approved,2025-02-27 20:42:00,Driver License,approved
1025,bank_linked,2025-03-02 13:42:00,,linked
1026,account_created,2025-01-22 10:00:00,,
1026,phone_verified,2025-01-22 10:26:00,,
1026,kyc_started,2025-01-22 10:40:00,State ID,started
1027,account_created,2025-03-30 16:00:00,,
1027,phone_verified,2025-03-30 16:09:00,,
1027,kyc_started,2025-03-30 17:27:00,Driver License,started
1028,account_created,2025-02-18 14:00:00,,
1028,phone_verified,2025-02-18 14:26:00,,
1029,account_created,2025-02-28 10:00:00,,
1029,phone_verified,2025-02-28 10:12:00,,
